vg	gm	idbyw	gmbyid	gmbygds	ft	cgg	gds	Voverdrive	vd
0.000000e+00	1.960370e-12	3.749036e-14	2.614499e+01	1.734077e+01	1.591854e+03	1.231501e-15	1.130498e-13	-6.810224e-01	1.000000e-01
1.000000e-02	2.546104e-12	4.869282e-14	2.614456e+01	1.737069e+01	2.075487e+03	1.226750e-15	1.465747e-13	-6.710224e-01	1.000000e-01
2.000000e-02	3.306826e-12	6.324238e-14	2.614406e+01	1.740069e+01	2.705570e+03	1.222229e-15	1.900399e-13	-6.610224e-01	1.000000e-01
3.000000e-02	4.294801e-12	8.213897e-14	2.614350e+01	1.743076e+01	3.526265e+03	1.217946e-15	2.463921e-13	-6.510224e-01	1.000000e-01
4.000000e-02	5.577902e-12	1.066812e-13	2.614287e+01	1.746089e+01	4.594976e+03	1.213913e-15	3.194513e-13	-6.410224e-01	1.000000e-01
5.000000e-02	7.244266e-12	1.385553e-13	2.614214e+01	1.749107e+01	5.986294e+03	1.210142e-15	4.141693e-13	-6.310224e-01	1.000000e-01
6.000000e-02	9.408336e-12	1.799514e-13	2.614132e+01	1.752131e+01	7.797102e+03	1.206645e-15	5.369653e-13	-6.210224e-01	1.000000e-01
7.000000e-02	1.221872e-11	2.337134e-13	2.614038e+01	1.755160e+01	1.015318e+04	1.203437e-15	6.961599e-13	-6.110224e-01	1.000000e-01
8.000000e-02	1.586835e-11	3.035342e-13	2.613932e+01	1.758192e+01	1.321775e+04	1.200534e-15	9.025383e-13	-6.010224e-01	1.000000e-01
9.000000e-02	2.060776e-11	3.942091e-13	2.613810e+01	1.761226e+01	1.720249e+04	1.197952e-15	1.170080e-12	-5.910224e-01	1.000000e-01
1.000000e-01	2.676216e-11	5.119648e-13	2.613672e+01	1.764262e+01	2.238180e+04	1.195711e-15	1.516904e-12	-5.810224e-01	1.000000e-01
1.100000e-01	3.475378e-11	6.648858e-13	2.613515e+01	1.767298e+01	2.911115e+04	1.193831e-15	1.966492e-12	-5.710224e-01	1.000000e-01
1.200000e-01	4.513070e-11	8.634691e-13	2.613336e+01	1.770333e+01	3.785074e+04	1.192333e-15	2.549277e-12	-5.610224e-01	1.000000e-01
1.300000e-01	5.860433e-11	1.121342e-12	2.613133e+01	1.773365e+01	4.919594e+04	1.191243e-15	3.304696e-12	-5.510224e-01	1.000000e-01
1.400000e-01	7.609799e-11	1.456197e-12	2.612901e+01	1.776392e+01	6.391642e+04	1.190586e-15	4.283850e-12	-5.410224e-01	1.000000e-01
1.500000e-01	9.880993e-11	1.891000e-12	2.612637e+01	1.779412e+01	8.300640e+04	1.190389e-15	5.552954e-12	-5.310224e-01	1.000000e-01
1.600000e-01	1.282950e-10	2.455560e-12	2.612337e+01	1.782422e+01	1.077491e+05	1.190683e-15	7.197790e-12	-5.210224e-01	1.000000e-01
1.700000e-01	1.665705e-10	3.188567e-12	2.611995e+01	1.785419e+01	1.397990e+05	1.191500e-15	9.329487e-12	-5.110224e-01	1.000000e-01
1.800000e-01	2.162532e-10	4.140233e-12	2.611607e+01	1.788400e+01	1.812877e+05	1.192873e-15	1.209199e-11	-5.010224e-01	1.000000e-01
1.900000e-01	2.807374e-10	5.375713e-12	2.611164e+01	1.791361e+01	2.349582e+05	1.194839e-15	1.567173e-11	-4.910224e-01	1.000000e-01
2.000000e-01	3.644242e-10	6.979540e-12	2.610660e+01	1.794298e+01	3.043367e+05	1.197437e-15	2.031013e-11	-4.810224e-01	1.000000e-01
2.100000e-01	4.730197e-10	9.061376e-12	2.610088e+01	1.797205e+01	3.939508e+05	1.200708e-15	2.631974e-11	-4.710224e-01	1.000000e-01
2.200000e-01	6.139197e-10	1.176346e-11	2.609436e+01	1.800077e+01	5.096069e+05	1.204693e-15	3.410520e-11	-4.610224e-01	1.000000e-01
2.300000e-01	7.967074e-10	1.527023e-11	2.608695e+01	1.802906e+01	6.587421e+05	1.209437e-15	4.419017e-11	-4.510224e-01	1.000000e-01
2.400000e-01	1.033796e-09	1.982083e-11	2.607852e+01	1.805687e+01	8.508689e+05	1.214988e-15	5.725222e-11	-4.410224e-01	1.000000e-01
2.500000e-01	1.341259e-09	2.572522e-11	2.606894e+01	1.808410e+01	1.098138e+06	1.221394e-15	7.416785e-11	-4.310224e-01	1.000000e-01
2.600000e-01	1.739899e-09	3.338504e-11	2.605806e+01	1.811065e+01	1.416045e+06	1.228703e-15	9.607051e-11	-4.210224e-01	1.000000e-01
2.700000e-01	2.256630e-09	4.332059e-11	2.604570e+01	1.813641e+01	1.824326e+06	1.236966e-15	1.244254e-10	-4.110224e-01	1.000000e-01
2.800000e-01	2.926251e-09	5.620560e-11	2.603167e+01	1.816125e+01	2.348073e+06	1.246235e-15	1.611260e-10	-4.010224e-01	1.000000e-01
2.900000e-01	3.793727e-09	7.291214e-11	2.601574e+01	1.818505e+01	3.019136e+06	1.256560e-15	2.086179e-10	-3.910224e-01	1.000000e-01
3.000000e-01	4.917122e-09	9.456847e-11	2.599768e+01	1.820762e+01	3.877878e+06	1.267993e-15	2.700585e-10	-3.810224e-01	1.000000e-01
3.100000e-01	6.371357e-09	1.226336e-10	2.597721e+01	1.822879e+01	4.975358e+06	1.280583e-15	3.495217e-10	-3.710224e-01	1.000000e-01
3.200000e-01	8.253013e-09	1.589929e-10	2.595403e+01	1.824834e+01	6.376050e+06	1.294377e-15	4.522609e-10	-3.610224e-01	1.000000e-01
3.300000e-01	1.068648e-08	2.060814e-10	2.592781e+01	1.826606e+01	8.161219e+06	1.309422e-15	5.850457e-10	-3.510224e-01	1.000000e-01
3.400000e-01	1.383177e-08	2.670415e-10	2.589816e+01	1.828166e+01	1.043310e+07	1.325758e-15	7.565925e-10	-3.410224e-01	1.000000e-01
3.500000e-01	1.789447e-08	3.459249e-10	2.586468e+01	1.829485e+01	1.332004e+07	1.343425e-15	9.781151e-10	-3.310224e-01	1.000000e-01
3.600000e-01	2.313839e-08	4.479508e-10	2.582693e+01	1.830531e+01	1.698288e+07	1.362454e-15	1.264026e-09	-3.210224e-01	1.000000e-01
3.700000e-01	2.990144e-08	5.798355e-10	2.578442e+01	1.831265e+01	2.162271e+07	1.382872e-15	1.632830e-09	-3.110224e-01	1.000000e-01
3.800000e-01	3.861580e-08	7.502108e-10	2.573664e+01	1.831647e+01	2.749043e+07	1.404700e-15	2.108256e-09	-3.010224e-01	1.000000e-01
3.900000e-01	4.983311e-08	9.701567e-10	2.568302e+01	1.831630e+01	3.489840e+07	1.427948e-15	2.720697e-09	-2.910224e-01	1.000000e-01
4.000000e-01	6.425601e-08	1.253874e-09	2.562299e+01	1.831164e+01	4.423450e+07	1.452622e-15	3.509025e-09	-2.810224e-01	1.000000e-01
4.100000e-01	8.277750e-08	1.619535e-09	2.555595e+01	1.830193e+01	5.597930e+07	1.478716e-15	4.522884e-09	-2.710224e-01	1.000000e-01
4.200000e-01	1.065296e-07	2.090350e-09	2.548129e+01	1.828655e+01	7.072665e+07	1.506216e-15	5.825573e-09	-2.610224e-01	1.000000e-01
4.300000e-01	1.369438e-07	2.695914e-09	2.539840e+01	1.826485e+01	8.920847e+07	1.535098e-15	7.497670e-09	-2.510224e-01	1.000000e-01
4.400000e-01	1.758246e-07	3.473874e-09	2.530670e+01	1.823610e+01	1.123244e+08	1.565329e-15	9.641568e-09	-2.410224e-01	1.000000e-01
4.500000e-01	2.254406e-07	4.472020e-09	2.520568e+01	1.819953e+01	1.411771e+08	1.596864e-15	1.238716e-08	-2.310224e-01	1.000000e-01
4.600000e-01	2.886350e-07	5.750871e-09	2.509489e+01	1.815434e+01	1.771144e+08	1.629653e-15	1.589895e-08	-2.210224e-01	1.000000e-01
4.700000e-01	3.689598e-07	7.386872e-09	2.497402e+01	1.809965e+01	2.217796e+08	1.663633e-15	2.038492e-08	-2.110224e-01	1.000000e-01
4.800000e-01	4.708396e-07	9.476335e-09	2.484292e+01	1.803455e+01	2.771706e+08	1.698736e-15	2.610764e-08	-2.010224e-01	1.000000e-01
4.900000e-01	5.997692e-07	1.214028e-08	2.470162e+01	1.795809e+01	3.457110e+08	1.734886e-15	3.339827e-08	-1.910224e-01	1.000000e-01
5.000000e-01	7.625546e-07	1.553036e-08	2.455044e+01	1.786927e+01	4.303350e+08	1.772002e-15	4.267409e-08	-1.810224e-01	1.000000e-01
5.100000e-01	9.676056e-07	1.983616e-08	2.438995e+01	1.776701e+01	5.345890e+08	1.809999e-15	5.446082e-08	-1.710224e-01	1.000000e-01
5.200000e-01	1.225293e-06	2.529401e-08	2.422100e+01	1.765015e+01	6.627546e+08	1.848788e-15	6.942107e-08	-1.610224e-01	1.000000e-01
5.300000e-01	1.548382e-06	3.219792e-08	2.404476e+01	1.751742e+01	8.199969e+08	1.888278e-15	8.839100e-08	-1.510224e-01	1.000000e-01
5.400000e-01	1.952569e-06	4.091280e-08	2.386258e+01	1.736730e+01	1.012544e+09	1.928380e-15	1.124279e-07	-1.410224e-01	1.000000e-01
5.500000e-01	2.457120e-06	5.189064e-08	2.367594e+01	1.719796e+01	1.247899e+09	1.969006e-15	1.428728e-07	-1.310224e-01	1.000000e-01
5.600000e-01	3.085641e-06	6.569031e-08	2.348627e+01	1.700709e+01	1.535093e+09	2.010067e-15	1.814326e-07	-1.210224e-01	1.000000e-01
5.700000e-01	3.866978e-06	8.300138e-08	2.329466e+01	1.679176e+01	1.884967e+09	2.051483e-15	2.302901e-07	-1.110224e-01	1.000000e-01
5.800000e-01	4.836214e-06	1.046728e-07	2.310158e+01	1.654817e+01	2.310470e+09	2.093173e-15	2.922507e-07	-1.010224e-01	1.000000e-01
5.900000e-01	6.035716e-06	1.317468e-07	2.290650e+01	1.627148e+01	2.826948e+09	2.135064e-15	3.709383e-07	-9.102237e-02	1.000000e-01
6.000000e-01	7.516098e-06	1.654975e-07	2.270758e+01	1.595576e+01	3.452367e+09	2.177085e-15	4.710586e-07	-8.102237e-02	1.000000e-01
6.100000e-01	9.336920e-06	2.074745e-07	2.250136e+01	1.559398e+01	4.207390e+09	2.219172e-15	5.987514e-07	-7.102237e-02	1.000000e-01
6.200000e-01	1.156683e-05	2.595479e-07	2.228265e+01	1.517834e+01	5.115211e+09	2.261261e-15	7.620613e-07	-6.102238e-02	1.000000e-01
6.300000e-01	1.428279e-05	3.239523e-07	2.204459e+01	1.470081e+01	6.201030e+09	2.303293e-15	9.715645e-07	-5.102238e-02	1.000000e-01
6.400000e-01	1.756803e-05	4.033240e-07	2.177905e+01	1.415408e+01	7.491028e+09	2.345210e-15	1.241199e-06	-4.102239e-02	1.000000e-01
6.500000e-01	2.150831e-05	5.007238e-07	2.147722e+01	1.353274e+01	9.010784e+09	2.386953e-15	1.589354e-06	-3.102240e-02	1.000000e-01
6.600000e-01	2.618630e-05	6.196363e-07	2.113038e+01	1.283464e+01	1.078308e+10	2.428461e-15	2.040283e-06	-2.102241e-02	1.000000e-01
6.700000e-01	3.167401e-05	7.639360e-07	2.073080e+01	1.206219e+01	1.282518e+10	2.469674e-15	2.625891e-06	-1.102242e-02	1.000000e-01
6.800000e-01	3.802376e-05	9.378127e-07	2.027258e+01	1.122332e+01	1.514575e+10	2.510524e-15	3.387924e-06	-1.022433e-03	1.000000e-01
6.900000e-01	4.525819e-05	1.145647e-06	1.975224e+01	1.033177e+01	1.774176e+10	2.550941e-15	4.380487e-06	8.977550e-03	1.000000e-01
7.000000e-01	5.336078e-05	1.391840e-06	1.916915e+01	9.406644e+00	2.059584e+10	2.590852e-15	5.672669e-06	1.897753e-02	1.000000e-01
7.100000e-01	6.226813e-05	1.680593e-06	1.852564e+01	8.470955e+00	2.367448e+10	2.630180e-15	7.350781e-06	2.897751e-02	1.000000e-01
7.200000e-01	7.186603e-05	2.015666e-06	1.782687e+01	7.549477e+00	2.692776e+10	2.668845e-15	9.519339e-06	3.897748e-02	1.000000e-01
7.300000e-01	8.199083e-05	2.400123e-06	1.708055e+01	6.666116e+00	3.029104e+10	2.706768e-15	1.229964e-05	4.897745e-02	1.000000e-01
7.400000e-01	9.243753e-05	2.836098e-06	1.629661e+01	5.841347e+00	3.368873e+10	2.743871e-15	1.582469e-05	5.897741e-02	1.000000e-01
7.500000e-01	1.029746e-04	3.324629e-06	1.548662e+01	5.090239e+00	3.704016e+10	2.780079e-15	2.022981e-05	6.897737e-02	1.000000e-01
7.600000e-01	1.133638e-04	3.865571e-06	1.466327e+01	4.421445e+00	4.026673e+10	2.815322e-15	2.563953e-05	7.897733e-02	1.000000e-01
7.700000e-01	1.233824e-04	4.457616e-06	1.383950e+01	3.837322e+00	4.329909e+10	2.849537e-15	3.215324e-05	8.897728e-02	1.000000e-01
7.800000e-01	1.328418e-04	5.098421e-06	1.302774e+01	3.334960e+00	4.608290e+10	2.882671e-15	3.983311e-05	9.897723e-02	1.000000e-01
7.900000e-01	1.416010e-04	5.784817e-06	1.223902e+01	2.907756e+00	4.858200e+10	2.914680e-15	4.869769e-05	1.089772e-01	1.000000e-01
8.000000e-01	1.495701e-04	6.513056e-06	1.148233e+01	2.547059e+00	5.077867e+10	2.945531e-15	5.872267e-05	1.189771e-01	1.000000e-01
8.100000e-01	1.567079e-04	7.279065e-06	1.076428e+01	2.243560e+00	5.267140e+10	2.975199e-15	6.984786e-05	1.289771e-01	1.000000e-01
8.200000e-01	1.630132e-04	8.078670e-06	1.008911e+01	1.988267e+00	5.427130e+10	3.003672e-15	8.198758e-05	1.389770e-01	1.000000e-01
8.300000e-01	1.685151e-04	8.907771e-06	9.458882e+00	1.773066e+00	5.559818e+10	3.030947e-15	9.504166e-05	1.489769e-01	1.000000e-01
8.400000e-01	1.732629e-04	9.762466e-06	8.873930e+00	1.590957e+00	5.667688e+10	3.057029e-15	1.089048e-04	1.589769e-01	1.000000e-01
8.500000e-01	1.773176e-04	1.063914e-05	8.333273e+00	1.436077e+00	5.753454e+10	3.081934e-15	1.234737e-04	1.689768e-01	1.000000e-01
8.600000e-01	1.807460e-04	1.153448e-05	7.835031e+00	1.303603e+00	5.819851e+10	3.105681e-15	1.386511e-04	1.789767e-01	1.000000e-01
8.700000e-01	1.836155e-04	1.244553e-05	7.376764e+00	1.189614e+00	5.869502e+10	3.128298e-15	1.543488e-04	1.889766e-01	1.000000e-01
8.800000e-01	1.859917e-04	1.336967e-05	6.955734e+00	1.090937e+00	5.904843e+10	3.149817e-15	1.704880e-04	1.989766e-01	1.000000e-01
8.900000e-01	1.879362e-04	1.430458e-05	6.569094e+00	1.005009e+00	5.928079e+10	3.170272e-15	1.869996e-04	2.089765e-01	1.000000e-01
9.000000e-01	1.895057e-04	1.524824e-05	6.214017e+00	9.297538e-01	5.941169e+10	3.189704e-15	2.038235e-04	2.189764e-01	1.000000e-01
9.100000e-01	1.907513e-04	1.619892e-05	5.887777e+00	8.634867e-01	5.945832e+10	3.208151e-15	2.209082e-04	2.289763e-01	1.000000e-01
9.200000e-01	1.917186e-04	1.715511e-05	5.587799e+00	8.048329e-01	5.943553e+10	3.225656e-15	2.382092e-04	2.389762e-01	1.000000e-01
9.300000e-01	1.924478e-04	1.811551e-05	5.311686e+00	7.526648e-01	5.935605e+10	3.242261e-15	2.556886e-04	2.489762e-01	1.000000e-01
9.400000e-01	1.929741e-04	1.907904e-05	5.057229e+00	7.060520e-01	5.923068e+10	3.258010e-15	2.733143e-04	2.589761e-01	1.000000e-01
9.500000e-01	1.933279e-04	2.004475e-05	4.822407e+00	6.642227e-01	5.906851e+10	3.272943e-15	2.910588e-04	2.689760e-01	1.000000e-01
9.600000e-01	1.935351e-04	2.101184e-05	4.605382e+00	6.265328e-01	5.887711e+10	3.287103e-15	3.088987e-04	2.789759e-01	1.000000e-01
9.700000e-01	1.936182e-04	2.197965e-05	4.404487e+00	5.924414e-01	5.866274e+10	3.300531e-15	3.268141e-04	2.889759e-01	1.000000e-01
9.800000e-01	1.935959e-04	2.294760e-05	4.218217e+00	5.614924e-01	5.843055e+10	3.313265e-15	3.447881e-04	2.989758e-01	1.000000e-01
9.900000e-01	1.934842e-04	2.391520e-05	4.045213e+00	5.332988e-01	5.818471e+10	3.325344e-15	3.628063e-04	3.089757e-01	1.000000e-01
1.000000e+00	1.932963e-04	2.488204e-05	3.884252e+00	5.075305e-01	5.792856e+10	3.336804e-15	3.808564e-04	3.189756e-01	1.000000e-01
