vg	gm	idbyw	gmbyid	gmbygds	ft	cgg	gds	Voverdrive	vd
0.000000e+00	1.113474e-17	1.807417e-19	3.080290e+01	5.517390e+01	9.285016e-04	1.199216e-14	2.018117e-19	-1.012335e+00	1.000000e-01
1.000000e-02	1.515146e-17	2.459425e-19	3.080285e+01	5.517381e+01	1.282986e-03	1.180953e-14	2.746133e-19	-1.002335e+00	1.000000e-01
2.000000e-02	2.061715e-17	3.346636e-19	3.080279e+01	5.517370e+01	1.772064e-03	1.163454e-14	3.736771e-19	-9.923350e-01	1.000000e-01
3.000000e-02	2.805449e-17	4.553897e-19	3.080272e+01	5.517358e+01	2.446593e-03	1.146675e-14	5.084768e-19	-9.823350e-01	1.000000e-01
4.000000e-02	3.817469e-17	6.196659e-19	3.080264e+01	5.517344e+01	3.376574e-03	1.130575e-14	6.919035e-19	-9.723350e-01	1.000000e-01
5.000000e-02	5.194553e-17	8.432019e-19	3.080255e+01	5.517327e+01	4.658320e-03	1.115113e-14	9.414982e-19	-9.623350e-01	1.000000e-01
6.000000e-02	7.068385e-17	1.147374e-18	3.080244e+01	5.517307e+01	6.424317e-03	1.100255e-14	1.281129e-18	-9.523350e-01	1.000000e-01
7.000000e-02	9.618148e-17	1.561270e-18	3.080231e+01	5.517284e+01	8.856764e-03	1.085966e-14	1.743276e-18	-9.423350e-01	1.000000e-01
8.000000e-02	1.308765e-16	2.124470e-18	3.080216e+01	5.517258e+01	1.220616e-02	1.072217e-14	2.372130e-18	-9.323350e-01	1.000000e-01
9.000000e-02	1.780865e-16	2.890828e-18	3.080199e+01	5.517227e+01	1.681681e-02	1.058979e-14	3.227827e-18	-9.223350e-01	1.000000e-01
1.000000e-01	2.423255e-16	3.933627e-18	3.080179e+01	5.517190e+01	2.316189e-02	1.046225e-14	4.392190e-18	-9.123350e-01	1.000000e-01
1.100000e-01	3.297355e-16	5.352580e-18	3.080155e+01	5.517148e+01	3.189144e-02	1.033931e-14	5.976557e-18	-9.023350e-01	1.000000e-01
1.200000e-01	4.486738e-16	7.283364e-18	3.080128e+01	5.517099e+01	4.389836e-02	1.022074e-14	8.132423e-18	-8.923350e-01	1.000000e-01
1.300000e-01	6.105113e-16	9.910591e-18	3.080095e+01	5.517041e+01	6.040879e-02	1.010633e-14	1.106592e-17	-8.823350e-01	1.000000e-01
1.400000e-01	8.307197e-16	1.348546e-17	3.080058e+01	5.516974e+01	8.310610e-02	9.995893e-15	1.505752e-17	-8.723350e-01	1.000000e-01
1.500000e-01	1.130349e-15	1.834974e-17	3.080014e+01	5.516896e+01	1.143009e-01	9.889242e-15	2.048886e-17	-8.623350e-01	1.000000e-01
1.600000e-01	1.538040e-15	2.496848e-17	3.079963e+01	5.516804e+01	1.571640e-01	9.786213e-15	2.787919e-17	-8.523350e-01	1.000000e-01
1.700000e-01	2.092758e-15	3.397441e-17	3.079904e+01	5.516698e+01	2.160456e-01	9.686653e-15	3.793499e-17	-8.423350e-01	1.000000e-01
1.800000e-01	2.847517e-15	4.622842e-17	3.079834e+01	5.516573e+01	2.969126e-01	9.590422e-15	5.161750e-17	-8.323350e-01	1.000000e-01
1.900000e-01	3.874438e-15	6.290176e-17	3.079753e+01	5.516428e+01	4.079477e-01	9.497390e-15	7.023454e-17	-8.223350e-01	1.000000e-01
2.000000e-01	5.271636e-15	8.558799e-17	3.079659e+01	5.516259e+01	5.603689e-01	9.407438e-15	9.556542e-17	-8.123350e-01	1.000000e-01
2.100000e-01	7.172581e-15	1.164551e-16	3.079549e+01	5.516062e+01	7.695524e-01	9.320457e-15	1.300308e-16	-8.023350e-01	1.000000e-01
2.200000e-01	9.758829e-15	1.584524e-16	3.079420e+01	5.515832e+01	1.056568e+00	9.236349e-15	1.769240e-16	-7.923350e-01	1.000000e-01
2.300000e-01	1.327734e-14	2.155922e-16	3.079270e+01	5.515564e+01	1.450279e+00	9.155024e-15	2.407249e-16	-7.823350e-01	1.000000e-01
2.400000e-01	1.806399e-14	2.933327e-16	3.079096e+01	5.515251e+01	1.990215e+00	9.076401e-15	3.275279e-16	-7.723350e-01	1.000000e-01
2.500000e-01	2.457559e-14	3.990980e-16	3.078892e+01	5.514886e+01	2.730497e+00	9.000409e-15	4.456229e-16	-7.623350e-01	1.000000e-01
2.600000e-01	3.343336e-14	5.429866e-16	3.078654e+01	5.514460e+01	3.745202e+00	8.926985e-15	6.062853e-16	-7.523350e-01	1.000000e-01
2.700000e-01	4.548198e-14	7.387330e-16	3.078377e+01	5.513964e+01	5.135682e+00	8.856073e-15	8.248509e-16	-7.423350e-01	1.000000e-01
2.800000e-01	6.186986e-14	1.005016e-15	3.078054e+01	5.513385e+01	7.040565e+00	8.787627e-15	1.122176e-15	-7.323350e-01	1.000000e-01
2.900000e-01	8.415815e-14	1.367235e-15	3.077677e+01	5.512710e+01	9.649383e+00	8.721609e-15	1.526620e-15	-7.223350e-01	1.000000e-01
3.000000e-01	1.144687e-13	1.859926e-15	3.077238e+01	5.511923e+01	1.322117e+01	8.657989e-15	2.076747e-15	-7.123350e-01	1.000000e-01
3.100000e-01	1.556849e-13	2.530041e-15	3.076726e+01	5.511006e+01	1.810975e+01	8.596743e-15	2.824981e-15	-7.023350e-01	1.000000e-01
3.200000e-01	2.117240e-13	3.441402e-15	3.076129e+01	5.509937e+01	2.479826e+01	8.537857e-15	3.842584e-15	-6.923350e-01	1.000000e-01
3.300000e-01	2.879066e-13	4.680749e-15	3.075434e+01	5.508690e+01	3.394594e+01	8.481327e-15	5.226408e-15	-6.823350e-01	1.000000e-01
3.400000e-01	3.914573e-13	6.365940e-15	3.074623e+01	5.507238e+01	4.645190e+01	8.427154e-15	7.108051e-15	-6.723350e-01	1.000000e-01
3.500000e-01	5.321820e-13	8.657086e-15	3.073678e+01	5.505546e+01	6.354146e+01	8.375349e-15	9.666289e-15	-6.623350e-01	1.000000e-01
3.600000e-01	7.233850e-13	1.177163e-14	3.072578e+01	5.503574e+01	8.688337e+01	8.325932e-15	1.314391e-14	-6.523350e-01	1.000000e-01
3.700000e-01	9.831088e-13	1.600479e-14	3.071296e+01	5.501278e+01	1.187483e+02	8.278930e-15	1.787055e-14	-6.423350e-01	1.000000e-01
3.800000e-01	1.335807e-12	2.175720e-14	3.069804e+01	5.498605e+01	1.622231e+02	8.234382e-15	2.429356e-14	-6.323350e-01	1.000000e-01
3.900000e-01	1.814600e-12	2.957237e-14	3.068067e+01	5.495492e+01	2.214998e+02	8.192333e-15	3.301979e-14	-6.223350e-01	1.000000e-01
4.000000e-01	2.464316e-12	4.018720e-14	3.066046e+01	5.491870e+01	3.022648e+02	8.152840e-15	4.487208e-14	-6.123350e-01	1.000000e-01
4.100000e-01	3.345571e-12	5.460026e-14	3.063695e+01	5.487658e+01	4.122208e+02	8.115969e-15	6.096537e-14	-6.023350e-01	1.000000e-01
4.200000e-01	4.540246e-12	7.416371e-14	3.060962e+01	5.482759e+01	5.617867e+02	8.081796e-15	8.280950e-14	-5.923350e-01	1.000000e-01
4.300000e-01	6.158816e-12	1.007071e-13	3.057786e+01	5.477068e+01	7.650314e+02	8.050409e-15	1.124473e-13	-5.823350e-01	1.000000e-01
4.400000e-01	8.350126e-12	1.367036e-13	3.054099e+01	5.470458e+01	1.040916e+03	8.021904e-15	1.526404e-13	-5.723350e-01	1.000000e-01
4.500000e-01	1.131440e-11	1.854929e-13	3.049820e+01	5.462787e+01	1.414938e+03	7.996392e-15	2.071177e-13	-5.623350e-01	1.000000e-01
4.600000e-01	1.532045e-11	2.515788e-13	3.044860e+01	5.453893e+01	1.921302e+03	7.973994e-15	2.809084e-13	-5.523350e-01	1.000000e-01
4.700000e-01	2.072842e-11	3.410272e-13	3.039115e+01	5.443592e+01	2.605761e+03	7.954842e-15	3.807857e-13	-5.423350e-01	1.000000e-01
4.800000e-01	2.801960e-11	4.619929e-13	3.032470e+01	5.431673e+01	3.529324e+03	7.939084e-15	5.158557e-13	-5.323350e-01	1.000000e-01
4.900000e-01	3.783527e-11	6.254191e-13	3.024794e+01	5.417900e+01	4.773036e+03	7.926877e-15	6.983383e-13	-5.223350e-01	1.000000e-01
5.000000e-01	5.102713e-11	8.459574e-13	3.015939e+01	5.402011e+01	6.444125e+03	7.918394e-15	9.445950e-13	-5.123350e-01	1.000000e-01
5.100000e-01	6.872188e-11	1.143175e-12	3.005745e+01	5.383711e+01	8.683778e+03	7.913823e-15	1.276478e-12	-5.023350e-01	1.000000e-01
5.200000e-01	9.240356e-11	1.543129e-12	2.994032e+01	5.362679e+01	1.167690e+04	7.913364e-15	1.723086e-12	-4.923350e-01	1.000000e-01
5.300000e-01	1.240170e-10	2.080398e-12	2.980607e+01	5.338560e+01	1.566418e+04	7.917232e-15	2.323042e-12	-4.823350e-01	1.000000e-01
5.400000e-01	1.660961e-10	2.800701e-12	2.965261e+01	5.310978e+01	2.095676e+04	7.925659e-15	3.127412e-12	-4.723350e-01	1.000000e-01
5.500000e-01	2.219212e-10	3.764218e-12	2.947773e+01	5.279529e+01	2.795368e+04	7.938889e-15	4.203428e-12	-4.623350e-01	1.000000e-01
